"ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","NUF2","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","NDC80","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T"
0.67975,0.545,-0.046,-2.239125,0.081267,-0.772625,0.06475,1.725,0.5547,0.257167,-0.298,1.40025,0.525455,0.9445,-0.9315,1.4984,-0.48525,-0.279417,0.3215,-0.222667,-4.99525,2.404875,-2.008,-0.4196,0.806,0.441615,0.174143,1.7764,0.3095,-2.316875,2.0465,0.622222,2.9455,1.28225,-0.56275,0.1505,0.78375,-0.54575,-1.7996,0.879909,2.890833,1.937,0.346333,-0.09825,2.403,-2.4092,1.461,0.426,0.026,0.089167
-0.203375,-2.514333,0.05425,0.802125,-1.777067,-1.1895,-1.597,-1.222375,-1.6704,-1.936333,-1.94625,-0.34725,-1.625818,-2.663833,0.459,-0.9365,0.520625,0.428333,-1.7205,0.373333,0.517,-1.012688,-0.139,0.0799,-2.0675,-2.042,-1.633429,-2.169,-2.261,0.889125,-0.1925,-2.597667,-2.78925,-2.51275,0.50175,0.5045,-1.935,-0.25825,2.4808,-1.974818,2.542167,-1.418625,-2.186167,-2.093625,-1.812,-0.3536,0.50075,-2.1945,-2.086625,-1.3725
-0.642375,-0.1575,1.2255,0.6965,0.252867,0.961125,0.08625,-0.1175,-0.1327,-0.7315,1.2565,-3.482,0.577273,0.325333,0.3455,-0.5471,-0.680875,-0.1015,-0.01425,-0.974667,0.464375,-0.457688,0.509,-1.063,0.449,0.514615,-0.687643,-2.0522,-2.1364,-0.232143,1.056417,0.306889,-2.39675,0.51975,0.821,-0.322167,-0.64925,-1.233562,2.1022,0.010545,0.681333,-1.133,0.633167,-0.4845,-2.18225,2.8219,-1.32625,-0.047625,-0.03475,0.873333
0.659125,-0.516333,0.62675,0.256625,-0.939467,-0.035375,-0.63925,-0.08025,-0.515,-1.165667,-1.286625,-0.13625,-0.567,-0.700333,-1.006333,0.5961,-0.883375,-0.057333,-0.69175,-0.842833,0.681,-0.7885,1.875667,-1.5651,-0.607,-0.576692,-2.077643,-2.2887,-2.3531,0.651375,-0.257833,-0.466111,-1.3845,-0.677,-0.28725,-0.009,-0.613375,0.274687,1.1522,-0.573091,2.624333,-1.062,-1.121667,-0.453125,-0.6225,0.2759,0.4435,-0.257,-0.868125,-1.231
0.03775,-0.316,-0.0315,-2.1555,0.046533,-0.0015,-0.9215,-0.194625,-0.2989,-0.573333,-0.10425,-1.597,0.077818,0.316167,-0.8515,-1.4303,2.55675,-0.189583,-0.32625,1.177,0.25825,-0.641,0.775833,2.0251,-0.33675,-0.230538,-1.844071,-1.9231,-2.3598,0.271875,-0.179833,1.159444,-2.6065,0.4145,-0.037625,-1.835833,0.638375,-1.5615,-0.6912,-0.353818,-2.615833,-0.913875,-0.120167,0.4065,-1.615125,-0.0441,0.32125,-0.8265,-0.306375,0.3925
0.475125,1.317667,-1.127,-4.70575,1.8798,-1.567,0.82725,2.700625,1.3173,1.273667,1.2275,2.325,0.338455,0.940333,-2.3045,2.6413,-0.382125,-7.5345,1.3555,1.333833,-7.668,4.409875,-1.307667,0.4864,0.861,1.196538,0.629929,2.6092,2.2411,-1.408375,0.871167,1.786,5.263,1.515,-3.292625,0.089167,1.61775,0.751812,-3.7321,0.192818,-2.778167,1.848,0.705833,0.215,3.898125,-2.0283,-2.007125,2.33175,1.6135,1.161
-0.911375,-1.422333,-0.477,1.584625,-1.249733,0.249375,-0.756,-1.107875,-0.6369,-1.037,-1.961875,-0.6505,-1.246091,-1.407167,0.656333,-0.2565,0.09175,0.92875,-1.27075,-0.514667,0.602,0.074438,-0.095333,0.0521,-0.49475,-0.915308,-0.089857,-0.2734,-0.4388,1.07075,0.132167,-1.581333,-0.13,-1.283,0.69575,0.617833,-1.260875,-1.902313,1.7811,-0.408091,3.993667,-1.52,-0.4495,-1.71325,0.252375,0.4649,1.2365,-0.170625,-1.231875,-1.321
0.31625,0.595833,-1.44275,-2.737,1.073133,-1.812,-0.19175,0.741875,1.4258,-0.205833,0.532,1.22375,1.107636,0.429667,-0.582,2.8761,-0.39575,-2.646,0.6345,0.0885,-4.604625,5.807875,-1.7185,0.0709,1.18325,0.849769,0.190571,-0.0163,-1.1629,-1.623875,0.029417,1.256889,3.156,0.225,-1.972875,0.7,0.144875,-0.278125,-3.7336,0.909364,-3.725167,1.702125,1.090167,-0.632,3.08175,-4.1876,-2.7145,-1.4075,0.92175,0.186667
-0.244125,-0.663,-0.4075,2.3815,-0.716467,-0.150875,-0.61925,-0.13125,-0.7811,-0.464667,-0.288625,0.78725,-1.255,-0.542167,0.454167,0.3484,-1.03175,-0.447,0.216,0.206667,-0.14,0.938813,-0.161,-0.605,-0.90375,0.049308,1.873786,2.5866,2.4098,0.844143,-0.006833,-0.739333,2.45375,-0.379,0.306875,0.8075,-0.586625,0.847687,1.2837,-0.420364,-0.165833,-0.162875,-0.716,0.2005,0.44425,2.3104,1.007,-1.609,-0.3945,-1.156
-0.164375,-0.612,0.4575,1.155875,-0.358267,-0.186125,-0.47575,-0.56,-0.3656,0,-0.93175,0.5145,-0.169273,-0.606167,0.147667,-0.0093,0.460125,1.847333,0.0335,-1.006333,0.492875,0.327625,-0.3255,0.2656,-0.273,-0.390462,1.564071,1.2138,1.7175,0.47,0.045833,-0.324778,1.154,0.16075,0.480375,0.280667,-0.39175,-1.281938,2.292,-0.940818,1.732167,-0.475375,-0.308833,-0.469875,1.421,0.1645,1.197375,0.309875,-0.81325,-0.473333
